instance,iterations_or_generations,runtime_seconds,initial_cost,final_cost,improvement,pct_allocated,pct_not_allocated
s0m0.dat,1379,0.5277650356292725,485,445,80,100.0,0.0
s0m1.dat,1379,0.6151924133300781,455,445,20,100.0,0.0
s0m2.dat,1379,0.5324146747589111,445,445,50,100.0,0.0
s0m3.dat,1379,0.5762166976928711,475,445,20,100.0,0.0
s100m0.dat,1379,0.5682976245880127,450,410,70,100.0,0.0
s100m1.dat,1379,0.5419538021087646,470,410,10,100.0,0.0
s100m2.dat,1379,0.525444746017456,460,410,20,100.0,0.0
s100m3.dat,1379,0.5327608585357666,460,410,10,100.0,0.0
s101m0.dat,1379,0.4884474277496338,485,355,180,100.0,0.0
s101m1.dat,1379,0.532271146774292,575,355,230,100.0,0.0
s101m2.dat,1379,0.5704336166381836,565,355,150,100.0,0.0
s101m3.dat,1379,0.4762706756591797,545,355,220,100.0,0.0
s102m0.dat,1379,0.34478330612182617,315,225,10,100.0,0.0
s102m1.dat,1379,0.3733408451080322,295,225,50,100.0,0.0
s102m2.dat,1379,0.38952016830444336,265,225,30,100.0,0.0
s102m3.dat,1379,0.3398301601409912,235,225,20,100.0,0.0
s103m0.dat,1379,0.30068182945251465,200,180,120,100.0,0.0
s103m1.dat,1379,0.32330870628356934,210,180,40,100.0,0.0
s103m2.dat,1379,0.3370018005371094,210,180,30,100.0,0.0
s103m3.dat,1379,0.32097411155700684,290,180,30,100.0,0.0
s104m0.dat,1379,0.49304986000061035,540,370,170,100.0,0.0
s104m1.dat,1379,0.5225136280059814,500,370,150,100.0,0.0
s104m2.dat,1379,0.506805419921875,550,370,180,100.0,0.0
s104m3.dat,1379,0.50408935546875,490,370,120,100.0,0.0
s105m0.dat,1379,0.559112548828125,560,410,170,100.0,0.0
s105m1.dat,1379,0.5762076377868652,610,410,140,100.0,0.0
s105m2.dat,1379,0.5107123851776123,570,410,110,100.0,0.0
s105m3.dat,1379,0.564917802810669,570,410,280,100.0,0.0
s106m0.dat,1379,0.48270750045776367,355,285,160,100.0,0.0
s106m1.dat,1379,0.5751521587371826,425,285,170,100.0,0.0
s106m2.dat,1379,0.47856807708740234,415,285,80,100.0,0.0
s106m3.dat,1379,0.4168579578399658,405,285,120,100.0,0.0
s107m0.dat,1379,0.5849967002868652,525,415,100,100.0,0.0
s107m1.dat,1379,0.6103167533874512,475,415,100,100.0,0.0
s107m2.dat,1379,0.5791497230529785,545,415,100,100.0,0.0
s107m3.dat,1379,0.6230018138885498,465,415,80,100.0,0.0
s108m0.dat,1379,0.4862079620361328,630,560,120,100.0,0.0
s108m1.dat,1379,0.5076148509979248,600,560,120,100.0,0.0
s108m2.dat,1379,0.4932079315185547,670,560,100,100.0,0.0
s108m3.dat,1379,0.5097837448120117,670,560,80,100.0,0.0
s109m0.dat,1379,0.5369951725006104,585,455,250,100.0,0.0
s109m1.dat,1379,0.6035487651824951,715,455,240,100.0,0.0
s109m2.dat,1379,0.6506433486938477,645,455,130,100.0,0.0
s109m3.dat,1379,0.5370752811431885,595,455,190,100.0,0.0
s10m0.dat,1379,0.5310103893280029,535,405,160,100.0,0.0
s10m1.dat,1379,0.6097915172576904,565,405,170,100.0,0.0
s10m2.dat,1379,0.5979471206665039,605,405,200,100.0,0.0
s10m3.dat,1379,0.5586426258087158,555,405,110,100.0,0.0
s110m0.dat,1379,0.4764530658721924,440,320,140,100.0,0.0
s110m1.dat,1379,0.48637962341308594,470,320,160,100.0,0.0
s110m2.dat,1379,0.4980931282043457,440,320,210,100.0,0.0
s110m3.dat,1379,0.5031139850616455,520,320,170,100.0,0.0
s111m0.dat,1379,0.48987531661987305,525,425,140,100.0,0.0
s111m1.dat,1379,0.5136370658874512,585,425,170,100.0,0.0
s111m2.dat,1379,0.5819916725158691,525,425,120,100.0,0.0
s111m3.dat,1379,0.5254364013671875,525,425,50,100.0,0.0
s112m0.dat,1379,0.7342476844787598,875,725,160,100.0,0.0
s112m1.dat,1379,0.6327664852142334,865,725,80,100.0,0.0
s112m2.dat,1379,0.656205415725708,835,725,150,100.0,0.0
s112m3.dat,1379,0.7014002799987793,905,725,150,100.0,0.0
s113m0.dat,1379,0.5829753875732422,565,375,160,100.0,0.0
s113m1.dat,1379,0.5168449878692627,485,375,230,100.0,0.0
s113m2.dat,1379,0.5360198020935059,535,375,150,100.0,0.0
s113m3.dat,1379,0.5595302581787109,525,375,240,100.0,0.0
s114m0.dat,1379,0.5595312118530273,600,480,90,100.0,0.0
s114m1.dat,1379,0.8954520225524902,610,480,70,100.0,0.0
s114m2.dat,1379,0.7031636238098145,640,480,200,100.0,0.0
s114m3.dat,1379,0.557471752166748,590,480,60,100.0,0.0
s115m0.dat,1379,0.4972522258758545,440,310,120,100.0,0.0
s115m1.dat,1379,0.47759127616882324,450,310,160,100.0,0.0
s115m2.dat,1379,0.5034866333007812,420,310,40,100.0,0.0
s115m3.dat,1379,0.5351204872131348,330,310,90,100.0,0.0
s116m0.dat,1379,0.42110180854797363,330,245,90,100.0,0.0
s116m1.dat,1379,0.38873863220214844,355,245,0,100.0,0.0
s116m2.dat,1379,0.4448385238647461,350,245,120,100.0,0.0
s116m3.dat,1379,0.42767882347106934,380,245,135,100.0,0.0
s117m0.dat,1379,0.6162078380584717,590,480,270,100.0,0.0
s117m1.dat,1379,0.6025905609130859,660,480,150,100.0,0.0
s117m2.dat,1379,0.5849184989929199,640,480,160,100.0,0.0
s117m3.dat,1379,0.6310405731201172,650,480,140,100.0,0.0
s118m0.dat,1379,0.49695253372192383,530,350,230,100.0,0.0
s118m1.dat,1379,0.47263026237487793,645,350,180,100.0,0.0
s118m2.dat,1379,0.5184791088104248,615,350,210,100.0,0.0
s118m3.dat,1379,0.4795389175415039,620,350,325,100.0,0.0
s119m0.dat,1379,0.4042515754699707,510,330,30,100.0,0.0
s119m1.dat,1379,0.43349432945251465,450,330,110,100.0,0.0
s119m2.dat,1379,0.44878268241882324,375,330,90,100.0,0.0
s119m3.dat,1379,0.4002821445465088,450,330,50,100.0,0.0
s11m0.dat,1379,0.5995724201202393,525,355,130,100.0,0.0
s11m1.dat,1379,0.6034767627716064,605,355,110,100.0,0.0
s11m2.dat,1379,0.5142021179199219,445,355,200,100.0,0.0
s11m3.dat,1379,0.5839464664459229,485,355,130,100.0,0.0
s120m0.dat,1379,0.4750981330871582,455,295,120,100.0,0.0
s120m1.dat,1379,0.4676475524902344,405,295,230,100.0,0.0
s120m2.dat,1379,0.53910231590271,415,295,130,100.0,0.0
s120m3.dat,1379,0.47173333168029785,375,295,120,100.0,0.0
s121m0.dat,1379,0.4803586006164551,525,315,210,100.0,0.0
